,id_str,created_at,text_tweet,text_concept,truncated,retweet_count,type,in_reply_to_status_id_str,in_reply_to_user_id_str
102,1207251451367641088,Wed Dec 18 10:49:10 +0000 2019,"RT @RatZest: #CAB_FactsVsDistortion 

Courtesy: @FeminismInIndia https://t.co/wwAoLih5Jo",,False,0,,,
103,1207231527978799105,Wed Dec 18 09:30:00 +0000 2019,"Around 200 individuals gathered at the Sir Puttanna Chetty Town Hall in #Bengaluru to peacefully #protest against the recent #policeviolence against students. @GurshabadGrover tells us more about it.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence 

https://t.co/RJ9hLVrIaI",bengaluru,True,3,hashtag,,
104,1207231527978799105,Wed Dec 18 09:30:00 +0000 2019,"Around 200 individuals gathered at the Sir Puttanna Chetty Town Hall in #Bengaluru to peacefully #protest against the recent #policeviolence against students. @GurshabadGrover tells us more about it.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence 

https://t.co/RJ9hLVrIaI",protest,True,3,hashtag,,
105,1207231527978799105,Wed Dec 18 09:30:00 +0000 2019,"Around 200 individuals gathered at the Sir Puttanna Chetty Town Hall in #Bengaluru to peacefully #protest against the recent #policeviolence against students. @GurshabadGrover tells us more about it.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence 

https://t.co/RJ9hLVrIaI",policeviolence,True,3,hashtag,,
106,1207231527978799105,Wed Dec 18 09:30:00 +0000 2019,"Around 200 individuals gathered at the Sir Puttanna Chetty Town Hall in #Bengaluru to peacefully #protest against the recent #policeviolence against students. @GurshabadGrover tells us more about it.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence 

https://t.co/RJ9hLVrIaI",indiarejectscaa,True,3,hashtag,,
107,1207231527978799105,Wed Dec 18 09:30:00 +0000 2019,"Around 200 individuals gathered at the Sir Puttanna Chetty Town Hall in #Bengaluru to peacefully #protest against the recent #policeviolence against students. @GurshabadGrover tells us more about it.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence 

https://t.co/RJ9hLVrIaI",indiarejectsnrc,True,3,hashtag,,
108,1207231527978799105,Wed Dec 18 09:30:00 +0000 2019,"Around 200 individuals gathered at the Sir Puttanna Chetty Town Hall in #Bengaluru to peacefully #protest against the recent #policeviolence against students. @GurshabadGrover tells us more about it.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence 

https://t.co/RJ9hLVrIaI",policestopviolence,True,3,hashtag,,
109,1207217698180075522,Wed Dec 18 08:35:02 +0000 2019,"The Convention on the Elimination of All Forms of Discrimination against Women (#CEDAW) is considered 𝗧𝗛𝗘 women’s human rights treaty. And today, it turns 40! Learn all about it: https://t.co/2Nl8MbyZtx",cedaw,True,485,hashtag,,
110,1207216428505542656,Wed Dec 18 08:30:00 +0000 2019,"How did #Chennai protest against the #CitizenshipAmendmentAct and the subsequent violence by the #police ?

@HamsadhwaniA tells us how people were united by their dissent towards the #Islamophobic government. 

https://t.co/IfL0XFERoc",chennai,True,5,hashtag,,
111,1207216428505542656,Wed Dec 18 08:30:00 +0000 2019,"How did #Chennai protest against the #CitizenshipAmendmentAct and the subsequent violence by the #police ?

@HamsadhwaniA tells us how people were united by their dissent towards the #Islamophobic government. 

https://t.co/IfL0XFERoc",citizenshipamendmentact,True,5,hashtag,,
